Type,geneName,pvalue1,median
RNA,TSPAN6,0.280025366183932,3.711032289
RNA,TNMD,0.8102531475808025,0.053810613
RNA,DPM1,0.47022254946323316,4.63379736
RNA,SCYL3,0.39828073559655364,3.078746447
RNA,C1orf112,0.9153234057865544,2.647747368
RNA,FGR,0.4981610232730094,2.559873545
RNA,CFH,0.35307730830277506,5.729838236
RNA,FUCA2,0.37510385039592686,4.122059733
RNA,GCLC,0.6472763073749842,4.231186613
RNA,NFYA,0.13231732241470967,3.598698683
RNA,STPG1,0.6241890583821522,1.925251301
RNA,NIPAL3,0.7651770286767455,3.51707408
RNA,LAS1L,0.5169874971989795,3.212396579
RNA,ENPP4,0.8097351450040478,3.225265674
RNA,SEMA3F,0.107917751297118,1.997733189
RNA,CFTR,0.9621466779437607,2.199537294
RNA,ANKIB1,0.3995663768701153,4.563566958
RNA,CYP51A1,0.09996450021927043,4.857488405
RNA,KRIT1,0.8154149217596665,4.717084145
RNA,RAD52,0.9255421275781648,3.227773416
RNA,BAD,0.6425160990379161,4.855850203
RNA,LAP3,0.528694203724589,5.783708083
RNA,CD99,0.6439073362573003,4.523800295
RNA,CD99,0.8090391609414339,4.589104298
RNA,HS3ST1,0.03445032397518958,1.126424475
RNA,AOC1,0.5329731499460527,0.594492178
RNA,WNT16,0.48410522036480885,0.220196205
RNA,HECW1,0.503891245616964,0.835700176
RNA,MAD1L1,0.14673737378939042,3.541031547
RNA,LASP1,0.21243926503478724,4.639810978
RNA,SNX11,0.7926940427261168,2.940209984
RNA,TMEM176A,0.6832449321243272,3.841681331
RNA,M6PR,0.6380378408240388,5.76915021
RNA,KLHL13,0.19394957040115374,1.116956885
RNA,CYP26B1,0.9115952575269911,0.477384097
RNA,ICA1,0.36461094963245,4.57625002
RNA,DBNDD1,0.20097796485384428,1.278906588
RNA,ALS2,0.8074656598698831,3.208159819
RNA,CASP10,0.5379393577462894,3.58596002
RNA,CFLAR,0.44714673179441167,6.187253086
RNA,TFPI,0.477922129050364,5.358065653
RNA,NDUFAF7,0.44482029990802097,3.513478112
RNA,RBM5,0.07436483355339932,6.069177986
RNA,MTMR7,0.929795442553867,1.04501653
RNA,SLC7A2,0.3058814859151293,1.966208952
RNA,ARF5,0.8340919560548482,5.308473736
RNA,SARM1,0.7738854202149439,1.537146944
RNA,POLDIP2,0.1200007767365655,3.861588194
RNA,PLXND1,0.38959006735664115,5.053962797
RNA,AK2,0.12760518368619378,6.047839355
RNA,CD38,0.4464195265682269,2.766188054
RNA,FKBP4,0.5893399751278063,4.136035491
RNA,KDM1A,0.9725036845255173,4.637210279
RNA,RBM6,0.24686544452316533,5.3870454
RNA,CAMKK1,0.9571761921847708,1.450189817
RNA,RECQL,0.6461044333551625,4.411134694
RNA,VPS50,0.41019205272889925,4.590488247
RNA,HSPB6,0.669274470487739,0.315747063
RNA,ARHGAP33,0.6623344629226836,0.80970995
RNA,NDUFAB1,0.8985211609779686,5.637563879
RNA,PDK4,0.15872046372304205,2.531670906
RNA,SLC22A16,0.06067941063357378,0.215431345
RNA,ZMYND10,0.7736645672141818,1.245039234
RNA,ABCB5,0.24476336543489818,0.172534879
RNA,ARX,0.3001490013662237,0.037140405
RNA,SLC25A13,0.20036805695020515,4.147900915
RNA,ST7,0.5377342941004115,3.563072689
RNA,CDC27,0.9113042841059503,4.484653748
RNA,SLC4A1,0.39989323269470534,0.024136671
RNA,CALCR,0.20326024120048197,0.178649635
RNA,HCCS,0.7787103428642267,2.913381564
RNA,DVL2,0.7354918390761169,3.003780314
RNA,PRSS22,0.016800102196475746,2.89857406
RNA,UPF1,0.5544523243401869,3.833942544
RNA,SKAP2,0.1639103988286515,3.729770273
RNA,SLC25A5,0.6378699200260953,6.511172297
RNA,MCUB,0.311108323428228,3.026038682
RNA,HOXA11,0.8416303204397643,0.023534992
RNA,POLR2J,0.9584816562244021,4.087454355
RNA,DHX33,0.9600707705276564,2.178593548
RNA,MEOX1,0.10600132409724246,0.380526659
RNA,THSD7A,0.9613874064037367,1.401013285
RNA,LIG3,0.33140713209705785,3.8793823
RNA,RPAP3,0.768261034857726,3.592504877
RNA,ACSM3,0.9184206335278831,2.78564889
RNA,REXO5,0.46390302282231577,1.759006655
RNA,CIAPIN1,0.7815199983447048,3.918453024
RNA,SPPL2B,0.25613250699645573,3.29120128
RNA,FAM214B,0.05997734802993757,2.269631651
RNA,COPZ2,0.4221928370190544,2.822819868
RNA,PRKAR2B,0.1889681689994129,1.597125899
RNA,MSL3,0.6423233688489264,3.356665002
RNA,CREBBP,0.7124701741855803,4.177439471
RNA,TSPOAP1,0.865027785632153,2.181379293
RNA,MPO,0.5926027452831688,0.073455573
RNA,PON1,0.32980717438441043,0.565580604
RNA,GCFC2,0.36150186721676747,3.219836072
RNA,WDR54,0.6561327622481744,3.090677316
RNA,CROT,0.3081775079218396,3.208813759
RNA,ABCB4,0.6336267506261919,0.756282928
RNA,KMT2E,0.9201684784778457,5.531690242
RNA,RHBDD2,0.24027358063077608,3.60345425
RNA,SOX8,0.26466409092586624,0.150428398
RNA,IBTK,0.4612197458510767,4.345155054
RNA,ZNF195,0.032153930887610156,3.88813926
RNA,MYCBP2,0.6626328244188895,4.528627575
RNA,FBXL3,0.9795479529821253,4.378553239
RNA,ITGAL,0.2680868003118533,3.062330708
RNA,PDK2,0.1014526336555893,2.678763782
RNA,ITGA3,0.011944165441430983,5.156307619
RNA,ZFX,0.7008320381175168,4.237594309
RNA,LAMP2,0.9120740436206398,6.033821615
RNA,ITGA2B,0.6287370120506788,0.379720761
RNA,ASB4,0.18342917737574474,0.265493306
RNA,GDE1,0.6152021634187566,5.194382591
RNA,REX1BD,0.10509969248713455,4.141808784
RNA,CRLF1,0.9528155320492804,2.018242471
RNA,OSBPL7,0.035338840871866097,2.14357954
RNA,TMEM98,0.23117994286134957,4.336704708
RNA,YBX2,0.565759919234426,0.215682324
RNA,KRT33A,0.9768159465145791,0.0
RNA,MAP3K14,0.421585526853255,1.900196372
