Type,geneName,pvalue1,median
RNA,TSPAN6,0.06441953308978073,3.711032289
RNA,TNMD,0.827789949258735,0.053810613
RNA,DPM1,0.019860208409401118,4.63379736
RNA,SCYL3,0.390697548304621,3.078746447
RNA,C1orf112,0.20238260732229385,2.647747368
RNA,FGR,0.8091999014093995,2.559873545
RNA,CFH,0.0015588225528209996,5.729838236
RNA,FUCA2,0.31306425336460064,4.122059733
RNA,GCLC,0.25804673338059886,4.231186613
RNA,NFYA,0.13403550869869552,3.598698683
RNA,STPG1,0.6235465825847032,1.925251301
RNA,NIPAL3,0.19972404666610746,3.51707408
RNA,LAS1L,0.3667876280453549,3.212396579
RNA,ENPP4,6.49805891842556e-05,3.225265674
RNA,SEMA3F,0.012967063720838773,1.997733189
RNA,CFTR,0.21621116411972027,2.199537294
RNA,ANKIB1,0.20857571362430538,4.563566958
RNA,CYP51A1,0.38021952964456085,4.857488405
RNA,KRIT1,0.2328286397480863,4.717084145
RNA,RAD52,5.614591625284004e-05,3.227773416
RNA,BAD,0.3078200363927018,4.855850203
RNA,LAP3,0.0015807463769915509,5.783708083
RNA,CD99,0.2160007878019617,4.523800295
RNA,CD99,0.7354456405871233,4.589104298
RNA,HS3ST1,0.8739107510065638,1.126424475
RNA,AOC1,0.043615455585476776,0.594492178
RNA,WNT16,0.3916893900240107,0.220196205
RNA,HECW1,0.000631801594987554,0.835700176
RNA,MAD1L1,6.70081333796986e-05,3.541031547
RNA,LASP1,0.06067661967160328,4.639810978
RNA,SNX11,0.46229869519698796,2.940209984
RNA,TMEM176A,0.03842801327703048,3.841681331
RNA,M6PR,0.543808460580647,5.76915021
RNA,KLHL13,0.40023510656790817,1.116956885
RNA,CYP26B1,0.0006502322246142473,0.477384097
RNA,ICA1,0.510245106152581,4.57625002
RNA,DBNDD1,0.2508242222863475,1.278906588
RNA,ALS2,0.5502495234832454,3.208159819
RNA,CASP10,0.664200436124712,3.58596002
RNA,CFLAR,0.5405453059272971,6.187253086
RNA,TFPI,0.10007829731965792,5.358065653
RNA,NDUFAF7,0.6009451949725757,3.513478112
RNA,RBM5,0.12978793462471802,6.069177986
RNA,MTMR7,0.34979366292143343,1.04501653
RNA,SLC7A2,0.0763307769568324,1.966208952
RNA,ARF5,0.4631517545059024,5.308473736
RNA,SARM1,0.5626803119578512,1.537146944
RNA,POLDIP2,0.9118226605990525,3.861588194
RNA,PLXND1,0.15283444665581375,5.053962797
RNA,AK2,0.08761329229829547,6.047839355
RNA,CD38,0.546611016378638,2.766188054
RNA,FKBP4,0.20029250317522948,4.136035491
RNA,KDM1A,0.26431442041557024,4.637210279
RNA,RBM6,0.09369031382702393,5.3870454
RNA,CAMKK1,0.1062225834056296,1.450189817
RNA,RECQL,0.06260803232845306,4.411134694
RNA,VPS50,0.7726302653462221,4.590488247
RNA,HSPB6,0.04872102761234737,0.315747063
RNA,ARHGAP33,3.5526598231669616e-07,0.80970995
RNA,NDUFAB1,0.041256032120855615,5.637563879
RNA,PDK4,0.00010873278528068331,2.531670906
RNA,SLC22A16,0.03318884923496303,0.215431345
RNA,ZMYND10,0.06852978169030355,1.245039234
RNA,ABCB5,0.012549249492624624,0.172534879
RNA,ARX,0.9645446247312878,0.037140405
RNA,SLC25A13,0.15938027802976712,4.147900915
RNA,ST7,0.19909307579789864,3.563072689
RNA,CDC27,0.9623762904158422,4.484653748
RNA,SLC4A1,0.7001748140462285,0.024136671
RNA,CALCR,0.28242936416960185,0.178649635
RNA,HCCS,0.5205230565179502,2.913381564
RNA,DVL2,0.004004610689030658,3.003780314
RNA,PRSS22,0.16186395283627644,2.89857406
RNA,UPF1,2.153785725268061e-05,3.833942544
RNA,SKAP2,0.807198708474075,3.729770273
RNA,SLC25A5,0.09690271512935432,6.511172297
RNA,MCUB,0.14553413447411434,3.026038682
RNA,HOXA11,0.05210033937640587,0.023534992
RNA,POLR2J,0.7270301409899056,4.087454355
RNA,DHX33,0.08972576459724413,2.178593548
RNA,MEOX1,0.003980829343870814,0.380526659
RNA,THSD7A,0.9552472795104503,1.401013285
RNA,LIG3,0.12720807095990988,3.8793823
RNA,RPAP3,0.6669800090479197,3.592504877
RNA,ACSM3,0.019637788221536834,2.78564889
RNA,REXO5,0.1616394294143565,1.759006655
RNA,CIAPIN1,0.0972535060286232,3.918453024
RNA,SPPL2B,3.268372218336399e-05,3.29120128
RNA,FAM214B,0.13745775955023745,2.269631651
RNA,COPZ2,0.21515685157733383,2.822819868
RNA,PRKAR2B,0.004195761552189105,1.597125899
RNA,MSL3,0.1586881902120517,3.356665002
RNA,CREBBP,0.0014240019855256887,4.177439471
RNA,TSPOAP1,0.9742663364025225,2.181379293
RNA,MPO,0.6951560048273261,0.073455573
RNA,PON1,0.2332658752422135,0.565580604
RNA,GCFC2,0.868228438171877,3.219836072
RNA,WDR54,0.014783827962358314,3.090677316
RNA,CROT,0.8110527935899934,3.208813759
RNA,ABCB4,0.9342835685631148,0.756282928
RNA,KMT2E,0.1146073433249413,5.531690242
RNA,RHBDD2,0.7147679564147847,3.60345425
RNA,SOX8,0.29084227925394923,0.150428398
RNA,IBTK,0.4164935704303314,4.345155054
